kind,pos,start,end,width
removed,2016.45,0,0,0.2
auto,2016.65,0,0,0.2
manual,2016.65,0,0,0.2
auto,2017,0,5000,0.4
manual,2017,5000,5110,0.4
removed,2017.45,5110,4110,0.2
auto,2017.65,4110,6180,0.2
manual,2017.65,6180,6240,0.2
auto,2018,0,6100,0.4
manual,2018,6100,6240,0.4
removed,2018.45,6240,5140,0.2
auto,2018.65,5140,7230,0.2
manual,2018.65,7230,7270,0.2
auto,2019,0,7100,0.4
manual,2019,7100,7270,0.4
removed,2019.45,7270,5170,0.2
auto,2019.65,5170,8330,0.2
manual,2019.65,8330,8400,0.2
auto,2020,0,8200,0.4
manual,2020,8200,8400,0.4